dynasty,king,era,start,end
前漢,武帝,建元,-140,-135
前漢,武帝,元光,-134,-129
前漢,武帝,元朔,-128,-123
前漢,武帝,元狩,-122,-117
前漢,武帝,元鼎,-116,-111
前漢,武帝,元封,-110,-105
前漢,武帝,太初,-104,-101
前漢,武帝,天漢,-100,-97
前漢,武帝,太始,-96,-93
前漢,武帝,征和,-92,-89
前漢,武帝,後元,-88,-87
前漢,昭帝,始元,-86,-80
前漢,昭帝,元鳳,-80,-75
前漢,昭帝,元平,-74,-74
前漢,宣帝,本始,-73,-70
前漢,宣帝,地節,-69,-66
前漢,宣帝,元康,-65,-61
前漢,宣帝,神爵,-61,-58
前漢,宣帝,五鳳,-57,-54
前漢,宣帝,甘露,-53,-50
前漢,宣帝,黄龍,-49,-49
前漢,元帝,初元,-48,-44
前漢,元帝,永光,-43,-39
前漢,元帝,建昭,-38,-34
前漢,元帝,竟寧,-33,-33
前漢,成帝,建始,-32,-28
前漢,成帝,河平,-28,-25
前漢,成帝,陽朔,-24,-21
前漢,成帝,鴻嘉,-20,-17
前漢,成帝,永始,-16,-13
前漢,成帝,元延,-12,-9
前漢,成帝,綏和,-8,-7
前漢,哀帝,建平,-6,-3
前漢,哀帝,太初元将,-5,-5
前漢,哀帝,元寿,-2,-1
前漢,平帝,元始,1,5
前漢,孺子嬰,居摂,6,81
前漢,孺子嬰,初始,81,81
新,王莽,始建国,9,13
新,王莽,天鳳,14,19
新,王莽,地皇,20,23
漢,更始帝,更始,23,25
後漢,光武帝,建武,25,56
後漢,光武帝,建武中元,56,57
後漢,明帝,永平,58,75
後漢,章帝,建初,76,84
後漢,章帝,元和,84,87
後漢,章帝,章和,87,88
後漢,和帝,永元,89,105
後漢,和帝,元興,105,105
後漢,殤帝,延平,106,106
後漢,安帝,永初,107,113
後漢,安帝,元初,114,120
後漢,安帝,永寧,120,121
後漢,安帝,建光,121,122
後漢,安帝,延光,122,125
後漢,少帝懿,延光,125,125
後漢,順帝,永建,126,132
後漢,順帝,陽嘉,132,135
後漢,順帝,永和,136,141
後漢,順帝,漢安,142,144
後漢,順帝,建康,144,144
後漢,冲沖,永憙,145,145
後漢,質帝,本初,146,146
後漢,桓帝,建和,147,149
後漢,桓帝,和平,150,150
後漢,桓帝,元嘉,151,153
後漢,桓帝,永興,153,154
後漢,桓帝,永寿,155,158
後漢,桓帝,延熹,158,167
後漢,桓帝,永康,167,167
後漢,霊帝,建寧,168,172
後漢,霊帝,熹平,172,178
後漢,霊帝,光和,178,184
後漢,霊帝,中平,184,189
後漢,献帝,中平,189,189
後漢,少帝弁,光熹,189,189
後漢,少帝弁,昭寧,189,189
後漢,献帝,永漢,189,189
後漢,献帝,初平,190,193
後漢,献帝,興平,194,195
