"country","price"
"Russia","$12.32"
"Indonesia","$8.21"
"Vietnam","$8.18"
"Thailand","$8.04"
"India","$7.99"
"Egypt","$7.59"
"Malaysia","$7.23"
"China","$7.18"
"Saudi Arabia","$7.08"
"Poland","$6.74"
"Philippines","$6.45"
"Bulgaria","$6.37"
"Sweden","$5.71"
"United Arab Emirates","$5.62"
"Hungary","$5.22"
"Turkey","$5.12"
"Chile","$5.06"
"South Korea","$5.03"
"Colombia","$4.93"
"Switzerland","$4.82"
"Spain","$4.81"
"Singapore","$4.71"
"Czech Republic","$4.64"
"Denmark","$4.62"
"Finland","$4.50"
"Mexico","$4.37"
"France","$4.36"
"Greece","$4.27"
"Belgium","$4.23"
"Austria","$4.10"
"Germany","$3.83"
"Brazil","$3.79"
"Japan","$3.56"
"Netherlands","$3.53"
"Ireland","$3.13"
"New Zealand","$3.06"
"Canada","$3.06"
"United Kingdom","$2.88"
"Australia","$2.86"
"United States","$2.75"
