pref,dog,cat,type
愛知県,254,340,1
愛媛県,761,1620,1
茨城県,583,1600,1
岡山県,14,17,1
沖縄県,565,737,1
岩手県,41,350,1
岐阜県,53,668,1
宮崎県,214,335,1
宮城県,108,1483,1
熊本県,164,436,1
群馬県,226,1567,1
広島県,95,291,1
香川県,1573,688,1
高知県,66,503,1
佐賀県,54,600,1
埼玉県,274,570,1
三重県,81,523,1
山形県,11,659,1
山口県,142,836,1
山梨県,87,691,1
滋賀県,124,555,1
鹿児島県,344,635,1
秋田県,71,431,1
新潟県,7,356,1
青森県,124,519,1
静岡県,48,685,1
石川県,16,311,1
千葉県,171,734,1
大分県,246,1225,1
長崎県,512,1074,1
長野県,16,377,1
鳥取県,17,416,1
島根県,35,348,1
徳島県,551,294,1
栃木県,275,57,1
奈良県,194,1249,1
富山県,8,200,1
兵庫県,249,1431,1
和歌山県,145,1558,1
神奈川県,10,29,1
福井県,6,121,1
福岡県,352,1217,1
福島県,189,2057,1
いわき市,19,169,2
さいたま市,13,16,2
旭川市,6,87,2
宇都宮市,20,125,2
越谷市,1,13,2
横須賀市,3,20,2
横浜市,36,420,2
岡崎市,10,176,2
岡山市,9,1,2
下関市,41,685,2
岐阜市,4,276,2
久留米市,25,245,2
宮崎市,12,36,2
金沢市,1,18,2
熊本市,10,17,2
郡山市,21,157,2
呉市,7,2,2
広島市,4,15,2
高崎市,12,94,2
高松市,265,333,2
高知市,20,378,2
高槻市,7,44,2
佐世保市,19,701,2
堺市,21,68,2
札幌市,4,91,2
鹿児島市,31,604,2
秋田市,5,25,2
松山市,0,478,2
新潟市,4,435,2
盛岡市,2,8,2
西宮市,2,23,2
青森市,8,102,2
静岡市,4,482,2
仙台市,2,267,2
千葉市,1,17,2
川越市,1,2,2
川崎市,1,44,2
船橋市,3,34,2
前橋市,36,124,2
倉敷市,24,109,2
相模原市,0,0,2
大阪市,38,1026,2
大津市,16,142,2
大分市,24,454,2
長崎市,3,965,2
長野市,2,5,2
東大阪市,14,358,2
奈良市,7,101,2
那覇市,18,99,2
尼崎市,1,161,2
柏市,7,59,2
函館市,20,270,2
八王子市,0,18,2
八戸市,1,2,2
姫路市,131,168,2
浜松市,13,283,2
富山市,15,167,2
豊橋市,7,51,2
豊中市,1,46,2
豊田市,14,122,2
北九州市,11,5,2
枚方市,0,8,2
名古屋市,0,268,2
和歌山市,42,399,2
神戸市,15,406,2
福岡市,10,238,2
福山市,31,209,2
京都市,25,868,2
北海道,76,410,1
大阪府,49,581,1
京都府,38,124,1
東京都,5,227,1
