"name","address","lat","lng"
"イオンモール旭川西店","北海道旭川市緑町23-2161-3 イオンモール旭川西店 1F","43.793668","142.3272859"
"イオン札幌麻生店","北海道札幌市北区北39条西4-1-5 イオン札幌麻生店1F","43.1072495","141.3397107"
"カテプリ新さっぽろ店","北海道札幌市厚別区厚別中央 2条5丁目7番 カテプリ新さっぽろ店1F","43.0376296","141.4731355"
"サッポロファクトリー店","北海道札幌市中央区北2条東4丁目","43.0656845","141.3630422"
"旭川赤十字病院店","北海道旭川市曙1条1-1-1","43.76962950000001","142.3483042"
"旭川店","北海道旭川市二条通7-227-1 マルカツデパート1F","43.7664933","142.3591702"
"釧路店","北海道釧路市末広町3-1-1 パステルパーク1F","42.9834324","144.3863168"
"札幌 IKEUCHI GATE店","北海道札幌市中央区南1条西2丁目18番地 IKEUCHI GATE 2F","43.0596156","141.3541681"
"札幌ＳＴＶ北２条店","北海道札幌市中央区北2条西2-15 STV北2条ビル1F","43.0638415","141.3541828"
"札幌ステラプレイス店","北海道札幌市中央区北5条西2-5 札幌ステラプレイス6F","43.0679604","141.3501384"
"イオンモール旭川西店","北海道旭川市緑町23-2161-3 イオンモール旭川西店 1F","43.793668","142.3272859"
"イオン札幌麻生店","北海道札幌市北区北39条西4-1-5 イオン札幌麻生店1F","43.1072495","141.3397107"
"カテプリ新さっぽろ店","北海道札幌市厚別区厚別中央 2条5丁目7番 カテプリ新さっぽろ店1F","43.0376296","141.4731355"
"サッポロファクトリー店","北海道札幌市中央区北2条東4丁目","43.0656845","141.3630422"
"旭川赤十字病院店","北海道旭川市曙1条1-1-1","43.76962950000001","142.3483042"
"旭川店","北海道旭川市二条通7-227-1 マルカツデパート1F","43.7664933","142.3591702"
"釧路店","北海道釧路市末広町3-1-1 パステルパーク1F","42.9834324","144.3863168"
"札幌 IKEUCHI GATE店","北海道札幌市中央区南1条西2丁目18番地 IKEUCHI GATE 2F","43.0596156","141.3541681"
"札幌ＳＴＶ北２条店","北海道札幌市中央区北2条西2-15 STV北2条ビル1F","43.0638415","141.3541828"
"札幌ステラプレイス店","北海道札幌市中央区北5条西2-5 札幌ステラプレイス6F","43.0679604","141.3501384"
"札幌ちえりあ店","北海道札幌市西区宮の沢1条1丁目1-10","43.0883006","141.2744234"
"札幌徳洲会病院店","北海道札幌市厚別区大谷地東1丁目1-1","43.0292161","141.4478893"
